DATE,NGDPRSAXDCCAQ
1961-01-01,85892.8
1961-04-01,88065.3
1961-07-01,90187.0
1961-10-01,91446.8
1962-01-01,93870.3
1962-04-01,94561.0
1962-07-01,95806.3
1962-10-01,97758.3
1963-01-01,98351.8
1963-04-01,99790.0
1963-07-01,100566.3
1963-10-01,103722.8
1964-01-01,106295.8
1964-04-01,106687.5
1964-07-01,107799.3
1964-10-01,108381.3
1965-01-01,111793.0
1965-04-01,112864.0
1965-07-01,114401.0
1965-10-01,117214.8
1966-01-01,119458.5
1966-04-01,121991.0
1966-07-01,121961.8
1966-10-01,123453.8
1967-01-01,123182.3
1967-04-01,125774.3
1967-07-01,126224.3
1967-10-01,126735.0
1968-01-01,127785.8
1968-04-01,131258.5
1968-07-01,133053.8
1968-10-01,134891.0
1969-01-01,136655.5
1969-04-01,137329.0
1969-07-01,138803.5
1969-10-01,140790.3
1970-01-01,141700.0
1970-04-01,141694.3
1970-07-01,143157.3
1970-10-01,143412.5
1971-01-01,142589.8
1971-04-01,146725.8
1971-07-01,150805.3
1971-10-01,152472.8
1972-01-01,151940.0
1972-04-01,156240.0
1972-07-01,156675.5
1972-10-01,160387.8
1973-01-01,164576.0
1973-04-01,166361.0
1973-07-01,166963.3
1973-10-01,170083.5
1974-01-01,171344.5
1974-04-01,173219.5
1974-07-01,173067.3
1974-10-01,172264.5
1975-01-01,171182.0
1975-04-01,173406.8
1975-07-01,176663.3
1975-10-01,178724.0
1976-01-01,181821.0
1976-04-01,185755.3
1976-07-01,186582.5
1976-10-01,186967.0
1977-01-01,189625.8
1977-04-01,190644.5
1977-07-01,191653.0
1977-10-01,194683.3
1978-01-01,196320.3
1978-04-01,197667.0
1978-07-01,199553.8
1978-10-01,201303.8
1979-01-01,202978.5
1979-04-01,205712.8
1979-07-01,207136.3
1979-10-01,208515.0
1980-01-01,209975.0
1980-04-01,209908.3
1980-07-01,209667.3
1980-10-01,212561.0
1981-01-01,217245.8
1981-04-01,219687.5
1981-07-01,217715.3
1981-10-01,216718.5
1982-01-01,214169.0
1982-04-01,211690.8
1982-07-01,209835.3
1982-10-01,207899.3
1983-01-01,211377.0
1983-04-01,215531.5
1983-07-01,217942.0
1983-10-01,220688.5
1984-01-01,224485.0
1984-04-01,228875.8
1984-07-01,229838.3
1984-10-01,233480.0
1985-01-01,237027.5
1985-04-01,237783.0
1985-07-01,240799.8
1985-10-01,244495.5
1986-01-01,244422.0
1986-04-01,245811.5
1986-07-01,246121.8
1986-10-01,244344.5
1987-01-01,249982.0
1987-04-01,253210.8
1987-07-01,257064.8
1987-10-01,260385.8
1988-01-01,264182.0
1988-04-01,266521.8
1988-07-01,266546.0
1988-10-01,268405.0
1989-01-01,271466.8
1989-04-01,272504.3
1989-07-01,273479.3
1989-10-01,272895.5
1990-01-01,275468.3
1990-04-01,274327.5
1990-07-01,272386.5
1990-10-01,269959.0
1991-01-01,266106.5
1991-04-01,267347.3
1991-07-01,267705.3
1991-10-01,268199.3
1992-01-01,268394.8
1992-04-01,268722.5
1992-07-01,270165.5
1992-10-01,271702.5
1993-01-01,273441.3
1993-04-01,275930.8
1993-07-01,278560.5
1993-10-01,279763.0
1994-01-01,283885.5
1994-04-01,288034.0
1994-07-01,291716.3
1994-10-01,293844.8
1995-01-01,296576.0
1995-04-01,296695.8
1995-07-01,297086.8
1995-10-01,298304.3
1996-01-01,298509.5
1996-04-01,300588.0
1996-07-01,303185.0
1996-10-01,305626.8
1997-01-01,309658.5
1997-04-01,313156.5
1997-07-01,316862.5
1997-10-01,319930.8
1998-01-01,324449.5
1998-04-01,324622.8
1998-07-01,327577.5
1998-10-01,332034.8
1999-01-01,338057.3
1999-04-01,340885.3
1999-07-01,346219.0
1999-10-01,351089.3
2000-01-01,356705.8
2000-04-01,360945.5
2000-07-01,364616.3
2000-10-01,365240.5
2001-01-01,367175.0
2001-04-01,368164.5
2001-07-01,367919.3
2001-10-01,370159.3
2002-01-01,375653.3
2002-04-01,377867.3
2002-07-01,381137.5
2002-10-01,383228.5
2003-01-01,385349.0
2003-04-01,384780.8
2003-07-01,386218.5
2003-10-01,388883.3
2004-01-01,391684.3
2004-04-01,396336.8
2004-07-01,401015.3
2004-10-01,403896.3
2005-01-01,405294.0
2005-04-01,408234.5
2005-07-01,413179.8
2005-10-01,417265.0
2006-01-01,420649.0
2006-04-01,420866.3
2006-07-01,422041.5
2006-10-01,423723.8
2007-01-01,426434.0
2007-04-01,430565.8
2007-07-01,432373.5
2007-10-01,432864.8
2008-01-01,433196.5
2008-04-01,434763.3
2008-07-01,438328.5
2008-10-01,433246.0
2009-01-01,423456.0
2009-04-01,418835.0
2009-07-01,420719.5
2009-10-01,425625.8
2010-01-01,430760.3
2010-04-01,433014.3
2010-07-01,436083.0
2010-10-01,440956.3
2011-01-01,444287.0
2011-04-01,445152.5
2011-07-01,451294.0
2011-10-01,454848.0
2012-01-01,455139.5
2012-04-01,456624.0
2012-07-01,457246.0
2012-10-01,458191.5
2013-01-01,462301.5
2013-04-01,464984.5
2013-07-01,468774.0
2013-10-01,473698.8
2014-01-01,474473.0
2014-04-01,478806.5
2014-07-01,483398.5
2014-10-01,486743.5
2015-01-01,484068.8
2015-04-01,482751.3
2015-07-01,484458.8
2015-10-01,484821.5
2016-01-01,487480.8
2016-04-01,485083.8
2016-07-01,490086.0
2016-10-01,492837.8
2017-01-01,498194.5
2017-04-01,503291.3
2017-07-01,505414.5
2017-10-01,508032.5
2018-01-01,512479.0
2018-04-01,516502.5
2018-07-01,520067.0
2018-10-01,521839.8
2019-01-01,522312.8
2019-04-01,527487.5
2019-07-01,529210.5
2019-10-01,530801.8
2020-01-01,519350.8
2020-04-01,462001.3
2020-07-01,503507.3
2020-10-01,514546.3
2021-01-01,520170.0
2021-04-01,516050.0
2021-07-01,522799.0
2021-10-01,531177.3
2022-01-01,535240.5
2022-04-01,539560.5
2022-07-01,541718.7
